Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Loan_Status
611314,Short Term,747.0,2074116.0,10.0,Home Mortgage,1
266662,Short Term,734.0,1919190.0,10.0,Home Mortgage,1
153494,Short Term,709.0,871112.0,2.0,Rent,1
176242,Short Term,727.0,780083.0,10.0,Rent,1
321992,Short Term,744.0,1761148.0,10.0,Home Mortgage,1
202928,Short Term,741.0,760380.0,1.0,Rent,1
621786,Long Term,733.0,1783606.0,10.0,Home Mortgage,1
266794,Long Term,1077.9915201396682,1369106.0397805213,1.0,Own Home,0
202466,Short Term,736.0,1068617.0,5.0,Rent,1
266288,Long Term,683.0,2031518.0,2.0,Rent,0
121110,Short Term,1077.9915201396682,1369106.0397805213,1.0,Rent,1
258104,Short Term,723.0,1284514.0,7.0,Rent,1
161722,Short Term,680.0,504374.0,7.0,Rent,1
753016,Long Term,1077.9915201396682,1369106.0397805213,5.0,Home Mortgage,0
444664,Short Term,1077.9915201396682,1369106.0397805213,5.0,Rent,0
172282,Short Term,696.0,669560.0,3.0,Home Mortgage,1
275440,Short Term,729.0,1236976.0,6.0,Rent,1
218834,Short Term,742.0,1077262.0,3.0,Own Home,1
99999999,Short Term,715.0,442339.0,1.0,Rent,1
99999999,Long Term,715.0,694526.0,8.0,Rent,1
346610,Short Term,744.0,2245116.0,2.0,Home Mortgage,1
99999999,Short Term,747.0,1394676.0,5.0,Home Mortgage,1
219648,Long Term,722.0,682898.0,10.0,Home Mortgage,1
334620,Short Term,740.0,963300.0,10.0,Home Mortgage,0
219868,Short Term,736.0,683582.0,6.0,Own Home,1
222816,Long Term,708.0,990185.0,4.0,Home Mortgage,0
108416,Short Term,1077.9915201396682,1369106.0397805213,10.0,Rent,0
108152,Short Term,705.0,747156.0,4.0,Rent,1
174724,Short Term,1077.9915201396682,1369106.0397805213,5.0,Rent,1
404008,Long Term,1077.9915201396682,1369106.0397805213,6.0,Home Mortgage,0
360228,Short Term,740.0,2138906.0,10.0,Home Mortgage,1
218724,Short Term,1077.9915201396682,1369106.0397805213,1.0,HaveMortgage,1
441012,Short Term,738.0,979716.0,10.0,Rent,1
